timestamp,trip_id,lat,lon,temp_c,humidity,door_open,excursion
2025-01-16 02:29:28,CC-03137347,6.574625,3.240878,7.03,55.7,False,False
2025-09-27 01:19:14,CC-03025748,6.674604,3.230105,3.72,57.5,False,False
2025-09-28 09:57:20,CC-08301705,12.068502,8.671332,6.55,67.8,False,False
2024-10-15 11:08:56,CC-07601847,12.144218,8.693779,5.33,67.1,False,False
2025-04-05 00:55:05,CC-05688636,12.489217,12.528487,5.34,57.6,False,False
2025-08-15 02:43:55,CC-06030255,4.55538,13.776439,5.06,58.1,False,False
2025-04-22 07:04:33,CC-02816387,12.167768,8.550811,8.71,70.2,False,True
2025-07-30 09:58:24,CC-04678665,7.219665,11.398862,5.77,43.9,False,False
2025-06-02 17:43:24,CC-06976696,6.329563,3.558545,4.58,77.1,False,False
2025-03-13 21:25:28,CC-04921567,12.170207,8.498054,4.95,48.5,False,False
2025-08-27 02:08:19,CC-06753520,7.393014,4.066576,6.66,65.6,False,False
2024-12-16 16:51:40,CC-00556920,7.581392,3.959297,4.69,67.5,False,False
2024-11-17 14:35:22,CC-02179399,9.192819,7.441344,4.21,33.6,False,False
2024-11-16 04:01:20,CC-05903195,9.779092,11.49832,5.75,91.0,False,False
2025-09-18 00:14:24,CC-01630333,7.429392,9.085641,7.69,66.3,False,False
2025-04-23 10:50:51,CC-03361530,5.023957,11.714157,4.86,56.0,False,False
2025-02-19 08:44:31,CC-00035051,4.682799,9.917808,7.6,58.4,False,False
2025-09-25 04:24:47,CC-06873125,12.02043,8.422096,3.89,81.5,False,False
2025-08-21 14:28:37,CC-07659616,11.884967,8.530206,4.97,50.1,False,False
2024-12-25 10:38:57,CC-07857158,4.868617,6.904353,2.69,82.5,False,False
2025-06-08 18:02:48,CC-00142453,6.776165,2.705604,7.01,60.6,False,False
2024-10-14 15:11:10,CC-07945848,6.581214,3.453632,5.56,53.3,False,False
2024-12-12 03:23:54,CC-00067169,6.267402,3.651901,5.85,60.7,False,False
2024-11-11 10:31:00,CC-03890649,7.5782,4.086997,4.2,58.1,False,False
2024-12-15 05:54:12,CC-07633324,12.001078,8.497199,5.86,68.0,False,False
2025-06-29 20:47:10,CC-04175322,8.944177,7.567163,2.31,53.4,False,False
2025-09-03 00:12:50,CC-00471175,9.731714,3.369773,6.66,76.9,False,False
2025-04-22 07:08:22,CC-05053963,9.886753,4.824211,3.75,56.6,False,False
2025-04-22 01:06:49,CC-02905498,12.182685,8.640163,6.54,56.0,False,False
2025-04-22 18:04:35,CC-03457646,11.203028,11.183734,6.64,68.3,False,False
2025-01-21 03:11:55,CC-04161400,7.395651,4.539041,4.15,79.7,False,False
2025-05-29 12:23:28,CC-06597348,7.494374,7.551902,3.71,62.9,False,False
2025-09-15 01:09:21,CC-07158176,11.922837,8.692788,3.15,72.0,False,False
2025-09-14 10:04:15,CC-06693558,12.049106,8.446101,4.08,70.1,False,False
2025-03-04 18:05:06,CC-05666696,11.427389,7.637057,4.96,57.4,False,False
2025-06-29 03:27:03,CC-07952154,6.68637,3.385233,3.9,68.0,False,False
2024-11-09 02:00:22,CC-01235162,4.907591,7.132504,3.43,69.0,True,False
